"","hhid","ffexwkpc","lny","mothed","fathed","mothage","fathage","nutrsc1","qrpcorn","qrprice","popden","adeqvhh","rd1","rd2","rd3","cultarpc","avnetwth","electr"
"942",298,15.38469,3.729296,2,2,41.22222,43.92778,10,4.158515,5.876369,120,5.410853,0,1,0,0.0267857,317.5,0
"943",298,12.70789,3.729296,2,2,41.22222,44.32778,10,4.146541,4.791662,120,5.410853,0,0,1,0.0234375,317.5,0
"944",298,17.65335,3.729296,2,2,41.22222,44.60833,10,3.419582,5.698383,120,4.531008,0,0,0,0.0234375,317.5,0
"945",299,15.27803,3.224206,4,1,25.83333,32.80555,11,3.209567,3.32726,120,3.612403,1,0,0,0,172.5,0
"946",299,16.8011,3.224206,4,1,25.83333,33.03889,11,4.333876,4.929164,120,3.612403,0,1,0,0,172.5,0
"947",299,7.4491,3.224206,4,1,25.83333,33.43889,11,3.885642,4.962667,120,3.612403,0,0,1,0,172.5,0
"948",299,9.5513,3.224206,4,1,25.83333,33.725,11,3.063241,5.628567,120,3.612403,0,0,0,0,172.5,0
"949",301,60.00697,3.875219,6,4,34.27222,37.175,7,3.303185,4.13491,104,9.852714,1,0,0,0.5625,196340,1
"950",301,48.58634,3.875219,6,4,34.27222,37.475,7,3.593086,3.786231,104,9.79845,0,1,0,0.4821429,196340,1
"951",301,68.03839,3.875219,6,4,34.27222,37.85833,7,3.722722,3.516354,104,10.04264,0,0,1,0.4821429,196340,1
"952",301,49.81999,3.875219,6,4,34.27222,38.14167,7,2.907751,5.473848,104,10.04264,0,0,0,0.5192308,196340,1
"953",302,57.95519,5.824115,8,3,35.65,46.23333,9,2.5289,3.94728,104,3.934108,1,0,0,2.321429,442550,1
"954",302,56.29482,5.824115,8,3,35.65,46.53055,9,3.449376,3.582581,104,3.934108,0,1,0,2.321429,442550,1
"955",302,98.21638,5.824115,8,3,35.65,46.90555,9,4.188795,2.439963,104,3.29845,0,0,1,2.321429,442550,1
"956",302,67.88911,5.824115,8,3,35.65,47.19722,9,2.808213,4.965679,104,4.023256,0,0,0,2.321429,442550,1
"957",303,44.15994,3.394807,10,10,36.28611,39.13056,14,5.57312,4.522324,104,6.406977,1,0,0,1.21875,50759,1
"958",303,34.92544,3.394807,10,10,36.28611,39.43333,14,3.449376,3.859963,104,6.406977,0,1,0,1.21875,50759,1
"959",303,67.07072,3.394807,10,10,36.28611,39.80833,14,3.626228,5.552012,104,6.484496,0,0,1,1.21875,50759,1
"960",303,40.71704,3.394807,10,10,36.28611,40.10278,14,2.945543,5.000063,104,6.577519,0,0,0,1.21875,50759,1
"961",304,86.31741,6.140934,6,6,48.60556,51.39167,4,4.25,3.91218,104,9.937984,1,0,0,2.125,276097.5,1
"962",304,38.79003,6.140934,6,6,48.60556,51.68611,4,2.080161,3.715895,104,10.09302,0,1,0,1.7,276097.5,1
"963",304,98.92464,6.140934,6,6,48.60556,52.075,4,3.722722,3.530823,104,10.09302,0,0,1,1.7,276097.5,1
"964",304,62.43336,6.140934,6,6,48.60556,52.36111,4,2.96715,4.959902,104,9.372093,0,0,0,1.961538,276097.5,1
"965",305,54.37453,4.809396,5,4,39.50555,39.96111,4,4.407825,4.905279,104,10.71705,1,0,0,1.65,331837.5,1
"966",305,25.17182,4.809396,5,4,39.50555,40.25278,4,3.449376,3.630006,104,12.26357,0,1,0,1.302632,331837.5,1
"967",305,68.62666,4.809396,5,4,39.50555,40.63056,4,3.722722,3.405208,104,12.27519,0,0,1,1.375,331837.5,1
"968",305,45.40167,4.809396,5,4,39.50555,40.91945,4,2.71386,4.992784,104,12.27519,0,0,0,1.375,331837.5,1
"969",306,51.31664,5.435886,6,6,30.75278,35.25556,4,4.25,3.33728,104,6.856589,1,0,0,2.444444,222354.5,1
"970",306,47.34585,5.435886,6,6,30.75278,35.54167,4,3.449376,3.49868,104,6.868217,0,1,0,2.2,222354.5,1
"971",306,74.47646,5.435886,6,6,30.75278,35.925,4,3.722722,3.479659,104,7.151163,0,0,1,2,222354.5,1
"972",306,26.44122,5.435886,6,6,30.75278,36.21111,4,3.096037,4.949376,104,7.151163,0,0,0,2,222354.5,1
"973",307,37.80301,3.233562,11,10,35.29167,40.58333,10,3.09245,6.139877,104,6.465117,1,0,0,2.25,84167.5,1
"974",307,74.58617,3.233562,11,10,35.29167,40.71944,10,3.318588,3.571275,104,6.465117,0,1,0,2.25,84167.5,1
"975",307,97.83377,3.233562,11,10,35.29167,41.26111,10,3.086346,3.543272,104,6.678295,0,0,1,2,84167.5,1
"976",307,31.02992,3.233562,11,10,35.29167,41.55278,10,2.749072,6.145087,104,6.794574,0,0,0,2,84167.5,1
